feature,coefficient
lex_liwc_WC,0.5500086417764534
lex_liwc_i,0.5338221560485383
lex_liwc_anx,0.4909436913541855
lex_liwc_negemo,0.39764664207699363
lex_dal_avg_imagery,0.2369741052358032
lex_liwc_negate,0.2186641862379877
syntax_fk_grade,0.10056226827537744
lex_dal_avg_activation,0.048196947863535795
lex_liwc_sad,0.03884731988940267
lex_liwc_Authentic,-0.026879051050894182
sentiment,-0.04404139441610451
lex_liwc_social,-0.2826090402445213
lex_dal_avg_pleasantness,-0.31157553848828157
syntax_ari,-0.5908951684099144
lex_liwc_Tone,-0.6090320901986469
