feature,coefficient
lex_liwc_i,0.6141768813836713
lex_liwc_WC,0.4899711760483095
lex_liwc_negemo,0.4519707816369031
lex_liwc_anx,0.36840708171424763
lex_dal_avg_imagery,0.20869710083451654
lex_liwc_negate,0.19309277201329797
lex_dal_avg_activation,0.05181707371050885
lex_liwc_sad,0.019655482147653665
lex_liwc_Authentic,-0.03677513379848599
syntax_fk_grade,-0.0711964004593789
sentiment,-0.10205667477947322
lex_dal_avg_pleasantness,-0.24017438879415526
lex_liwc_social,-0.24158359369621157
syntax_ari,-0.3737897984463266
lex_liwc_Tone,-0.5799643902262762
